CCN,State,Provider Name,City,Ownership Type,ESRD Network,NPI,Chain Name,Modality,Alternate CCN(s)
12525,AL,FMC WEST MOBILE,MOBILE,For Profit,8,1477665222,FRESENIUS MEDICAL CARE,Hemodialysis,012525
12526,AL,RCG PRINCETON,BIRMINGHAM,For Profit,8,.,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012526
12527,AL,"DIALYSIS CLINIC, INC/ENTERPRISE",ENTERPRISE,Non-profit,8,1669405049,"DIALYSIS CLINIC, INC.",Hemodialysis and Peritoneal Dialysis,012527
12528,AL,RCG CAHABA VALLEY,PELHAM,For Profit,8,1780796524,FRESENIUS MEDICAL CARE,Hemodialysis,012528
12529,AL,FLORENCE DIALYSIS,FLORENCE,For Profit,8,.,DAVITA,Hemodialysis and Peritoneal Dialysis,012529
12530,AL,RAI - EAST 11TH ST - ANNISTON,ANNISTON,For Profit,8,.,INDEPENDENT,Hemodialysis,012530
12531,AL,FMC TOMBIGBEE,JACKSON,For Profit,8,1245342070,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012531
12532,AL,"DIALYSIS CLINIC, INC/EUFAULA",EUFAULA,Non-profit,8,1831122217,"DIALYSIS CLINIC, INC.",Hemodialysis,012532
12533,AL,WALKER COUNTY DIALYSIS,JASPER,For Profit,8,1295781268,DAVITA,Hemodialysis and Peritoneal Dialysis,012533
12534,AL,RCG BESSEMER KIDNEY CENTER,BESSEMER,For Profit,8,.,FRESENIUS MEDICAL CARE,Hemodialysis,012534
12535,AL,PHYSICIANS CHOICE DIALYSIS-PRATTVILLE,PRATTVILLE,For Profit,8,1902860331,DAVITA,Hemodialysis,012535
12536,AL,RCG-MONTCLAIR,BIRMINGHAM,For Profit,8,1225140064,FRESENIUS MEDICAL CARE,Hemodialysis,012536
12537,AL,FRESENIUS MEDICAL CARE SERVICES OF PRICHARD,WHISTLER,For Profit,8,1386756138,FRESENIUS MEDICAL CARE,Hemodialysis,012537
12538,AL,RENAL CARE GROUP ANDALUSIA,ANDALUSIA,For Profit,8,1003928847,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012538
12540,AL,FMC WHETSTONE,MONROEVILLE,For Profit,8,1972615706,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012540
12541,AL,DIALYSIS SERVICES OF DADEVILLE,DADEVILLE,For Profit,8,1194837948,FRESENIUS MEDICAL CARE,Hemodialysis,012541
12542,AL,RAINBOW CITY DIALYSIS,RAINBOW CITY,For Profit,8,1013980135,GAMBRO HEALTHCARE,Hemodialysis and Peritoneal Dialysis,012542
12543,AL,DEMOPOLIS DIALYSIS,DEMOPOLIS,For Profit,8,1477526754,DAVITA,Hemodialysis and Peritoneal Dialysis,012543
12544,AL,OZARK DIALYSIS,OZARK,For Profit,8,1013980747,DAVITA,Hemodialysis,012544
12545,AL,TUSCALOOSA DIALYSIS,TUSCALOOSA,For Profit,8,.,DAVITA,Hemodialysis and Peritoneal Dialysis,012545
12546,AL,FRESENIUS MEDICAL CARE TUSKEGEE,TUSKEGEE,For Profit,8,1902918758,FRESENIUS MEDICAL CARE,Hemodialysis,012546
12547,AL,FRESENIUS MEDICAL CARE EASTERN SHORE,FAIRHOPE,For Profit,8,1073625802,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012547
12548,AL,FAYETTE DIALYSIS,FAYETTE,For Profit,8,1902879117,DAVITA,Hemodialysis,012548
12549,AL,FRESENIUS MEDICAL CARE BREWTON,BREWTON,For Profit,8,1932181278,FRESENIUS MEDICAL CARE,Unavailable,012549
12550,AL,GREENE COUNTY DIALYSIS,EUTAW,For Profit,8,1336112143,DAVITA,Hemodialysis,012550
12551,AL,SHEFFIELD DIALYSIS,SHEFFIELD,For Profit,8,.,DAVITA,Hemodialysis,012551
12552,AL,FRESENIUS MEDICAL CARE AZALEA CITY,MOBILE,For Profit,8,1184736936,FRESENIUS MEDICAL CARE,Hemodialysis,012552
12553,AL,PHYSICIANS CHOICE DIALYSIS-ELMORE COUNTY,WETUMPKA,For Profit,8,1063476489,DAVITA,Hemodialysis,012553
12556,AL,FRESENIUS MEDICAL CARE PELL CITY,PELL CITY,For Profit,8,1730291576,FRESENIUS MEDICAL CARE,Hemodialysis,012556
12557,AL,PHYSICIANS CHOICE DIALYSIS-EAST MONTGOMERY,MONTGOMERY,For Profit,8,1932163359,DAVITA,Unavailable,012557
12558,AL,"DIALYSIS CLINIC, INC/DECATUR",DECATUR,Non-profit,8,1982637369,"DIALYSIS CLINIC, INC.",Hemodialysis,012558
12559,AL,FRESENIUS MEDICAL CARE UNIVERSITY OF SOUTH ALABAMA,MOBILE,For Profit,8,1992817746,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012559
12560,AL,RCG HAMILTON,HAMILTON,For Profit,8,1649382482,FRESENIUS MEDICAL CARE,Unavailable,012560
12561,AL,FMC DIALYSIS SERVICES OF LAKEVIEW,ARAB,For Profit,8,1205938404,FRESENIUS MEDICAL CARE,Hemodialysis,012561
12562,AL,"DIALYSIS CLINIC, INC/PELL CITY",PELL CITY,Non-profit,8,1881627263,"DIALYSIS CLINIC, INC.",Hemodialysis,012562
12563,AL,"DIALYSIS CLINIC, INC/CULLMAN",CULLMAN,Non-profit,8,1063445443,"DIALYSIS CLINIC, INC.",Hemodialysis,012563
12565,AL,SOUTH BALDWIN DIALYSIS CENTER,FOLEY,For Profit,8,1720043714,DAVITA,Hemodialysis,012565
12566,AL,RCG SYLACAUGA,SYLACAUGA,For Profit,8,1558473397,FRESENIUS MEDICAL CARE,Hemodialysis,012566
12568,AL,BMA PARKWAY DIALYSIS CENTER,HUNTSVILLE,For Profit,8,1437261245,FRESENIUS MEDICAL CARE,Hemodialysis,012568
12570,AL,NORTHPORT DIALYSIS,NORTHPORT,For Profit,8,1336112598,DAVITA,Hemodialysis,012570
12571,AL,"DIALYSIS CLINIC, INC/GEORGIANA",GEORGIANA,Non-profit,8,1316970791,"DIALYSIS CLINIC, INC.",Hemodialysis,012571
12572,AL,FRESENIUS MEDICAL CARE CAMELLIA,GREENVILLE,For Profit,8,1093827842,FRESENIUS MEDICAL CARE,Hemodialysis,012572
12573,AL,"DIALYSIS CLINIC, INC/BIRMINGHAM",BIRMINGHAM,Non-profit,8,1053344432,"DIALYSIS CLINIC, INC.",Hemodialysis and Peritoneal Dialysis,012573
12574,AL,BMA CHAMBERS,LAFAYETTE,For Profit,8,1174635932,FRESENIUS MEDICAL CARE,Hemodialysis,012574
12575,AL,RCG WALKER,JASPER,For Profit,8,1376655118,FRESENIUS MEDICAL CARE,Hemodialysis,012575
12576,AL,"DIALYSIS CLINIC, INC/MONTGOMER",MONTGOMERY,Non-profit,8,1497788871,"DIALYSIS CLINIC, INC.",Hemodialysis and Peritoneal Dialysis,012576
12578,AL,RCG SOUTHSIDE,BIRMINGHAM,For Profit,8,1285746024,FRESENIUS MEDICAL CARE,Hemodialysis,012578
12579,AL,BMA DAUPHIN ISLAND PARKWAY,MOBILE,For Profit,8,1982716742,FRESENIUS MEDICAL CARE,Hemodialysis,012579
12580,AL,FMC THOMASVILLE,THOMASVILLE,For Profit,8,1881706612,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012580
12582,AL,FMC WILCOX,CAMDEN,For Profit,8,1457463218,FRESENIUS MEDICAL CARE,Hemodialysis,012582
12583,AL,BESSEMER DIALYSIS,BESSEMER,For Profit,8,1598738064,DAVITA,Hemodialysis,012583
12585,AL,ENSLEY DIALYSIS,BIRMINGHAM,For Profit,8,1164495461,DAVITA,Hemodialysis,012585
12588,AL,SYLACAUGA DIALYSIS,SYLACAUGA,For Profit,8,1619940764,DAVITA,Hemodialysis and Peritoneal Dialysis,012588
12589,AL,BIRMINGHAM NORTH DIALYSIS,BIRMINGHAM,For Profit,8,1508839002,DAVITA,Hemodialysis,012589
12590,AL,"DIALYSIS CLINIC, INC/MOULTON",MOULTON,Non-profit,8,1760415145,"DIALYSIS CLINIC, INC.",Hemodialysis,012590
12591,AL,RCG SHELBY,ALABASTER,For Profit,8,1902918741,FRESENIUS MEDICAL CARE,Hemodialysis,012591
12592,AL,BIRMINGHAM CENTRAL DIALYSIS,BIRMINGHAM,For Profit,8,1821061300,DAVITA,Hemodialysis,012592
12593,AL,FMC DIALYSIS SERVICES ODYSSEY,MADISON,For Profit,8,1245342054,FRESENIUS MEDICAL CARE,Hemodialysis,012593
12594,AL,BOAZ DIALYSIS,BOAZ,For Profit,8,1518930890,DAVITA,Hemodialysis,012594
12595,AL,RCG - FORT PAYNE,FORT PAYNE,For Profit,8,1639281470,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012595
12596,AL,FRESENIUS KIDNEY CARE MONTGOMERY,MONTGOMERY,For Profit,8,1740235472,FRESENIUS MEDICAL CARE,Hemodialysis,012596
12597,AL,FRESENIUS MEDICAL CARE DIALYSIS SVC OF BAY MINETTE,BAY MINETTE,For Profit,8,1144332909,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012597
12598,AL,"DIALYSIS CLINIC, INC/PHENIX CITY",PHENIX CITY,For Profit,8,1366462772,"DIALYSIS CLINIC, INC.",Hemodialysis,012598
12599,AL,FMC PORT CITY DIALYSIS,MOBILE,For Profit,8,1407968266,FRESENIUS MEDICAL CARE,Hemodialysis,012599
12600,AL,ATMORE DIALYSIS CENTER,ATMORE,For Profit,8,1790740793,DAVITA,Hemodialysis,012600
12601,AL,RCG WEST,BIRMINGHAM,For Profit,8,1104928589,FRESENIUS MEDICAL CARE,Hemodialysis,012601
12602,AL,RUSSELLVILLE DIALYSIS,RUSSELLVILLE,For Profit,8,1518930635,GAMBRO HEALTHCARE,Hemodialysis,012602
12603,AL,FRESENIUS MEDICAL CARE-FAIRFIELD,FAIRFIELD,For Profit,8,1457463291,RENAL CARE GROUP INC.,Hemodialysis,012603
12604,AL,RCG CLANTON,CLANTON,For Profit,8,.,FRESENIUS MEDICAL CARE,Hemodialysis,012604
12606,AL,FMC CHASE DIALYSIS CENTER,HUNTSVILLE,For Profit,8,1336251149,FRESENIUS MEDICAL CARE,Hemodialysis,012606
12607,AL,ROANOKE DIALYSIS CLINIC,ROANOKE,For Profit,8,1861483281,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012607
12608,AL,RCG ONEONTA,ONEONTA,For Profit,8,.,FRESENIUS MEDICAL CARE,Hemodialysis,012608
12609,AL,EUFAULA DIALYSIS,EUFAULA,For Profit,8,1679546634,DAVITA,Hemodialysis,012609
12610,AL,BMA MAGNOLIA,SEMMES,For Profit,8,1609988435,FRESENIUS MEDICAL CARE,Hemodialysis,012610
12611,AL,FRESENIUS MEDICAL CARE OF DALLAS COUNTY,SELMA,For Profit,8,.,FRESENIUS MEDICAL CARE,Hemodialysis,012611
12612,AL,FRESENIUS MEDICAL CARE OF GARDENDALE,GARDENDALE,For Profit,8,1487756862,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012612
12613,AL,FRESENIUS MEDICAL CARE DISCOVERY DIALYSIS CENTER,HUNTSVILLE,For Profit,8,1306948708,FRESENIUS MEDICAL CARE,Hemodialysis,012613
12614,AL,FRESENIUS MEDICAL CARE VALLEY CREEK,SELMA,For Profit,8,1427234814,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012614
12615,AL,FRESENIUS MEDICAL CARE OF AUBURN,AUBURN,For Profit,8,1881706620,FRESENIUS MEDICAL CARE,Hemodialysis,012615
12616,AL,LANDMARK DIALYSIS CLINIC,TALLADEGA,Non-profit,8,1750372736,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012616
12617,AL,FRESENIUS MEDICAL CARE ALEXANDER CITY,ALEXANDER CITY,For Profit,8,1861425621,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012617
12618,AL,RRC NORTHRIDGE,NORTHPORT,For Profit,8,1538311196,INDEPENDENT,Hemodialysis and Peritoneal Dialysis,012618
12619,AL,TUSCALOOSA NEPHROLOGY ASSOCIATES HOME DIALYSIS TRA,TUSCALOOSA,For Profit,8,1457308512,INDEPENDENT,Peritoneal Dialysis,012619
12620,AL,"HOME DIALYSIS OF NORTH ALABAMA, INC",DECATUR,For Profit,8,1144301243,INDEPENDENT,Peritoneal Dialysis,012620
12621,AL,RAI-SNOW ST-OXFORD,OXFORD,For Profit,8,1467679480,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012621
12622,AL,TALLADEGA DIALYSIS,TALLADEGA,For Profit,8,1942496575,DAVITA,Hemodialysis and Peritoneal Dialysis,012622
12623,AL,CENTER POINT DIALYSIS,CENTER POINT,For Profit,8,1912193384,DAVITA,Hemodialysis,012623
12624,AL,RCG MIDFIELD,BIRMINGHAM,For Profit,8,1871700047,FRESENIUS MEDICAL CARE,Hemodialysis,012624
12625,AL,RAI - HENRY RD - JACKSONVILLE,JACKSONVILLE,For Profit,8,1649591702,FRESENIUS MEDICAL CARE,Hemodialysis,012625
12626,AL,FMC NORTHWEST ALABAMA,WINFIELD,For Profit,8,1972776250,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012626
12627,AL,HOME DIALYSIS OPTIONS OF BALDWIN COUNTY,DAPHNE,For Profit,8,1699962282,DAVITA,Hemodialysis and Peritoneal Dialysis,012627
12628,AL,OPELIKA DIALYSIS CENTER,OPELIKA,For Profit,8,1992983365,DAVITA,Hemodialysis and Peritoneal Dialysis,012628
12629,AL,RENAISSANCE DIALYSIS,FLORENCE,For Profit,8,1508033614,DAVITA,Hemodialysis and Peritoneal Dialysis,012629
12630,AL,WIREGRASS KIDNEY CENTER,DOTHAN,For Profit,8,1003070285,DAVITA,Hemodialysis,012630
12631,AL,GULF SHORES DIALYSIS CENTER,GULF SHORES,For Profit,8,1811140767,DAVITA,Hemodialysis and Peritoneal Dialysis,012631
12632,AL,MUSCLE SHOALS DIALYSIS,MUSCLE SHOALS,For Profit,8,1356585376,DAVITA,Hemodialysis,012632
12633,AL,FRESENIUS MEDICAL CARE PRATTVILLE,PRATTVILLE,For Profit,8,1982842548,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012633
12634,AL,FRESENIUS MEDICAL CARE  FOLEY,FOLEY,For Profit,8,1194963777,FRESENIUS MEDICAL CARE,Hemodialysis,012634
12636,AL,FRESENIUS MEDICAL CARE USA JAGUAR,MOBILE,For Profit,8,1770715351,FRESENIUS MEDICAL CARE,Hemodialysis,012636
12637,AL,DCI HIGHLAND PARK,MONTGOMERY,Non-profit,8,1710200274,"DIALYSIS CLINIC, INC.",Hemodialysis,012637
12638,AL,FRESENIUS MEDICAL CARE HOOVER,HOOVER,For Profit,8,1891928925,FRESENIUS MEDICAL CARE,Hemodialysis,012638
12639,AL,FRESENIUS MEDICAL CARE MONTEVALLO,MONTEVALLO,For Profit,8,1689997900,FRESENIUS MEDICAL CARE,Hemodialysis,012639
12640,AL,PICKENS COUNTY DIALYSIS,CARROLLTON,For Profit,8,1396059382,DAVITA,Hemodialysis,012640
12641,AL,DCI EVERGREEN,EVERGREEN,Non-profit,8,1518271790,"DIALYSIS CLINIC, INC.",Hemodialysis,012641
12642,AL,ENTERPRISE DIALYSIS,ENTERPRISE,For Profit,8,1376844308,DAVITA,Hemodialysis,012642
12643,AL,FMS ENDEAVOUR DIALYSIS CENTER,HUNTSVILLE,For Profit,8,1114225737,FRESENIUS MEDICAL CARE,Hemodialysis,012643
12644,AL,JEWEL DIALYSIS,BESSEMER,For Profit,8,1225338064,DAVITA,Hemodialysis,012644
12645,AL,MAGIC CITY DIALYSIS,BIRMINGHAM,For Profit,8,1881903227,DAVITA,Hemodialysis and Peritoneal Dialysis,012645
12646,AL,STEEL CITY DIALYSIS,BIRMINGHAM,For Profit,8,1558670810,DAVITA,Hemodialysis,012646
12647,AL,CROWN DIALYSIS,BIRMINGHAM,For Profit,8,1659674190,DAVITA,Hemodialysis,012647
12648,AL,FRESENIUS KIDNEY CARE GADSDEN,GADSDEN,For Profit,8,1821519612,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012648
12649,AL,FRESENIUS KIDNEY CARE UNION SPRINGS,UNION SPRINGS,For Profit,8,1093236762,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012649
12650,AL,LIMESTONE COUNTY DIALYSIS,ATHENS,For Profit,8,1164700191,DAVITA,Hemodialysis and Peritoneal Dialysis,012650
12651,AL,FRESENIUS MEDICAL CARE FORESTDALE,BIRMINGHAM,For Profit,8,1992020655,FRESENIUS MEDICAL CARE,Hemodialysis,012651
12652,AL,LEEDS DIALYSIS,LEEDS,For Profit,8,1679857742,DAVITA,Hemodialysis,012652
12653,AL,FRESENIUS KIDNEY CARE PHENIX CITY,PHENIX CITY,For Profit,8,1699058552,INDEPENDENT,Hemodialysis and Peritoneal Dialysis,012653
12654,AL,FRESENIUS MEDICAL SERVICES OF TAYLOR ROAD,MONTGOMERY,For Profit,8,1447531686,FRESENIUS MEDICAL CARE,Hemodialysis,012654
12655,AL,ANDALUSIA DIALYSIS,ANDALUSIA,For Profit,8,1255607024,"RTC-SOUTHEAST, LP",Hemodialysis,012655
12656,AL,DCI MITYLENE PARK,MONTGOMERY,Non-profit,8,1548527252,"DIALYSIS CLINIC, INC.",Hemodialysis,012656
12657,AL,FRESENIUS MEDICAL CARE BIRMINGHAM HOME,BIRMINGHAM,For Profit,8,1245573161,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012657
12658,AL,SPRINGVILLE DIALYSIS,SPRINGVILLE,For Profit,8,1063773042,DAVITA,Hemodialysis,012658
12659,AL,FMC OF EAST JEFFERSON,BIRMINGHAM,For Profit,8,1598068660,FRESENIUS MEDICAL CARE,Hemodialysis,012659
12660,AL,FRESENIUS KIDNEY CARE ATTALLA,ATTALLA,For Profit,8,1568983237,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012660
12661,AL,DAVITA  HOKES BLUFF DIALYSIS,GADSDEN,For Profit,8,1568715936,DAVITA,Hemodialysis,012661
12662,AL,FRESENIUS MEDICAL CARE MONTGOMERY HOME SERVICES,MONTGOMERY,For Profit,8,1598029696,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012662
12663,AL,PERRY COUNTY DIALYSIS,MARION,For Profit,8,1609127273,DAVITA,Hemodialysis,012663
12664,AL,FRESENIUS MEDICAL CARE SOUTH MOBILE,GRAND BAY,For Profit,8,1255603833,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012664
12665,AL,BREWTON DIALYSIS,BREWTON,For Profit,8,1336483478,DAVITA,Hemodialysis and Peritoneal Dialysis,012665
12666,AL,ANNISTON DIALYSIS,ANNISTON,For Profit,8,1730429507,DAVITA,Hemodialysis,012666
12667,AL,FMC HOME THERAPY SERVICES OF BALDWIN COUNTY,FAIRHOPE,For Profit,8,1083960850,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012667
12668,AL,HENRY COUNTY DIALYSIS,ABBEVILLE,For Profit,8,1497099329,DAVITA,Hemodialysis,012668
12669,AL,MONARCH DIALYSIS,MONTGOMERY,For Profit,8,1992047450,DAVITA,Hemodialysis,012669
12670,AL,RED MOUNTAIN HOME TRAINING DIALYSIS,BIRMINGHAM,For Profit,8,1629415609,DAVITA,Hemodialysis and Peritoneal Dialysis,012670
12671,AL,HUNTSVILLE HOME,HUNTSVILLE,For Profit,8,1780933762,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012671
12672,AL,FRESENIUS MEDICAL CARE WEST MADISON,MADISON,For Profit,8,1114368065,FRESENIUS MEDICAL CARE,Hemodialysis,012672
12673,AL,HOME OPTIONS OF DOTHAN,DOTHAN,For Profit,8,1588096911,DAVITA,Hemodialysis and Peritoneal Dialysis,012673
12674,AL,FRESENIUS MEDICAL CARE BRUNDIDGE,BRUNDIDGE,For Profit,8,1427499573,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012674
12676,AL,GREYSTONE DIALYSIS,BIRMINGHAM,For Profit,8,1992134340,DAVITA,Hemodialysis,012676
12677,AL,DIALYSIS CLINIC INC GENEVA,GENEVA,Non-profit,8,1356753586,"DIALYSIS CLINIC, INC.",Hemodialysis,012677
12678,AL,FRESENIUS MEDICAL CARE MCCALLA,BESSEMER,Non-profit,8,1013321314,FRESENIUS MEDICAL CARE,Hemodialysis,012678
12679,AL,WHITE BLUFF DIALYSIS,DEMOPOLIS,For Profit,8,1285046979,DAVITA,Hemodialysis,012679
12680,AL,FRESENIUS MEDICAL CARE TALLASSEE,TALLASSEE,For Profit,8,1356732424,FRESENIUS MEDICAL CARE,Hemodialysis,012680
12681,AL,FRESENIUS MEDICAL CARE TRANQUILITY,MERIDIANVILLE,For Profit,8,1003207176,FRESENIUS MEDICAL CARE,Hemodialysis,012681
12682,AL,FRESENIUS MEDICAL CARE ANNISTON NORTH,ANNISTON,For Profit,8,1679951974,FRESENIUS MEDICAL CARE,Hemodialysis,012682
12683,AL,RRC BESSEMER HOME CHOICE,BESSEMER,For Profit,8,1366819062,INDEPENDENT,Unavailable,012683
12684,AL,FRESENIUS MEDICAL CARE ALBERTVILLE,ALBERTVILLE,For Profit,8,1144698853,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012684
12685,AL,MODEL CITY HOME TRAINING,ANNISTON,For Profit,8,1669801643,DAVITA,Hemodialysis and Peritoneal Dialysis,012685
12686,AL,FRESENIUS MEDICAL CARE ANNISTON HOME THERAPY,ANNISTON,For Profit,8,1699161307,FRESENIUS MEDICAL CARE,Hemodialysis and Peritoneal Dialysis,012686
12687,AL,FRESENIUS MEDICAL CARE BIRMINGHAM METRO,BIRMINGHAM,For Profit,8,1225411739,FRESENIUS MEDICAL CARE,Hemodialysis,012687
12688,AL,FRESENIUS MEDICAL CARE TRUSSVILLE,BIRMINGHAM,For Profit,8,1952764615,FRESENIUS MEDICAL CARE,Hemodialysis,012688
12689,AL,FRESENIUS MEDICAL CARE ENTERPRISE,ENTERPRISE,For Profit,8,1528433943,FRESENIUS MEDICAL CARE,Unavailable,012689
12690,AL,FRESENIUS MEDICAL CARE DOTHAN,DOTHAN,For Profit,8,1164887907,FRESENIUS MEDICAL CARE,Hemodialysis,012690
12692,AL,FRESENIUS MEDICAL CARE DECATUR,DECATUR,For Profit,8,1760839922,FRESENIUS MEDICAL CARE,Hemodialysis,012692
12693,AL,SPRINGS DIALYSIS,TRUSSVILLE,For Profit,8,1962853499,DAVITA,Hemodialysis,012693
12694,AL,COLONEL DIALYSIS,CULLMAN,For Profit,8,1508313081,DAVITA,Hemodialysis,012694
12695,AL,FRESENIUS MEDICAL CARE ROCKET CITY,HUNTSVILLE,For Profit,8,1174065056,FRESENIUS MEDICAL CARE,Hemodialysis,012695
12696,AL,FRESENIUS KIDNEY CARE SARALAND,SARALAND,For Profit,8,1861943003,FRESENIUS MEDICAL CARE,Hemodialysis,012696
12697,AL,BARBOUR COUNTY DIALYSIS,EUFAULA,For Profit,8,1326583188,DAVITA,Hemodialysis,012697
12698,AL,PHYSICIANS CHOICE DIALYSIS OF LUVERNE,LUVERNE,For Profit,8,1043734445,PHYSICIANS CHOICE,Hemodialysis and Peritoneal Dialysis,012698
12699,AL,DIALYSIS SERVICES OF DECATUR,DECATUR,Non-profit,8,1396270906,"DIALYSIS CLINIC, INC.",Hemodialysis,012699
12700,AL,CRIMSON DIALYSIS,TUSCALOOSA,For Profit,8,1194234179,DAVITA,Hemodialysis,012700
12701,AL,MAJESTIC DIALYSIS,MONTGOMERY,For Profit,8,1689176711,DAVITA,Hemodialysis,012701
12702,AL,"CHEROKEE COMMUNITY DIALYSIS, LLC",CENTRE,For Profit,8,1841711918,INDEPENDENT,Hemodialysis and Peritoneal Dialysis,012702
12703,AL,"DIALYSIS CLINIC, INC/ SOUTH CULLMAN",CULLMAN,Non-profit,8,1922514488,"DIALYSIS CLINIC, INC.",Hemodialysis,012703
12704,AL,PRATTVILLE COMMUNITY DIALYSIS,PRATTVILLE,For Profit,8,1114434230,PRATTVILLE COMMUNITY DIALYSIS,Hemodialysis and Peritoneal Dialysis,012704
12705,AL,FRESENIUS KIDNEY CARE COOSA RIVER,GADSDEN,For Profit,8,1427533561,FRESENIUS MEDICAL CARE,Hemodialysis,012705
