Measure ID,Measure
sexy2_f,"F: Prevalent Patients - Sex: % Female, 12/31/2017"
nrshomey2_f,"F: Prevalent Patients - Nursing Home: % of Nursing Home Facility Patients During Year, 12/31/2017"
modhdy2_f,"F: Prevalent Patients - Modality: % on Hemodialysis, 12/31/2017"
modhhdy2_f,"F: Prevalent Patients - Modality: % on Home Hemodialysis, 12/31/2017"
modcapdy2_f,"F: Prevalent Patients - Modality: % on Continuous Ambulatory Peritoneal Dialysis, 12/31/2017"
modccpdy2_f,"F: Prevalent Patients - Modality: % on Continuous Cycling Peritoneal Dialysis, 12/31/2017"
modothry2_f,"F: Prevalent Patients - Modality: % on Other Modality, 12/31/2017"
pahy3_f,"F: Prevalent Patients - End of Year Status: Number of patients alive in this facility, 2018"
agey3_f,"F: Prevalent Patients - Age: Average patient age, 12/31/2018"
viny3_f,"F: Prevalent Patients - Vintage: Average Years of Prior ESRD Therapy, 12/31/2018"
age1y3_f,"F: Prevalent Patients - Age: % Less than 18 years, 12/31/2018"
age2y3_f,"F: Prevalent Patients - Age: % Between 18-64 years, 12/31/2018"
age3y3_f,"F: Prevalent Patients - Age: % Greater than or equal to 65 years, 12/31/2018"
dis1y3_f,"F: Prevalent Patients - Primary Cause of ESRD: % Diabetes, 12/31/2018"
dis2y3_f,"F: Prevalent Patients - Primary Cause of ESRD: % Hypertension, 12/31/2018"
dis3y3_f,"F: Prevalent Patients - Primary Cause of ESRD: % Glomerulonephritis, 12/31/2018"
dis4y3_f,"F: Prevalent Patients - Primary Cause of ESRD: % Other/Unknown Cause, 12/31/2018"
dis5y3_f,"F: Prevalent Patients - Primary Cause of ESRD: % Missing Cause, 12/31/2018"
rac1y3_f,"F: Prevalent Patients - Race: % Asian/Pacific Islander, 12/31/2018"
rac2y3_f,"F: Prevalent Patients - Race: % African American, 12/31/2018"
rac3y3_f,"F: Prevalent Patients - Race: % Native American, 12/31/2018"
rac4y3_f,"F: Prevalent Patients - Race: % White, 12/31/2018"
rac5y3_f,"F: Prevalent Patients - Race: % Other/Unknown/Missing race, 12/31/2018"
eth1y3_f,"F: Prevalent Patients - Ethnicity: % Hispanic, 12/31/2018"
eth2y3_f,"F: Prevalent Patients - Ethnicity: % Non-Hispanic, 12/31/2018"
eth3y3_f,"F: Prevalent Patients - Ethnicity: % Unknown Ethnicity, 12/31/2018"
vin1y3_f,"F: Prevalent Patients - Vintage: % on ESRD Therapy less than 1 year, 12/31/2018"
vin2y3_f,"F: Prevalent Patients - Vintage: % on ESRD Therapy for 1-2 years, 12/31/2018"
vin3y3_f,"F: Prevalent Patients - Vintage: % on ESRD Therapy for 2-3 years, 12/31/2018"
vin4y3_f,"F: Prevalent Patients - Vintage: % on ESRD Therapy for 3-6 years, 12/31/2018"
vin5y3_f,"F: Prevalent Patients - Vintage: % on ESRD Therapy for over 6 years, 12/31/2018"
sexy3_f,"F: Prevalent Patients - Sex: % Female, 12/31/2018"
nrshomey3_f,"F: Prevalent Patients - Nursing Home: % of Nursing Home Facility Patients During Year, 12/31/2018"
modhdy3_f,"F: Prevalent Patients - Modality: % on Hemodialysis, 12/31/2018"
modhhdy3_f,"F: Prevalent Patients - Modality: % on Home Hemodialysis, 12/31/2018"
modcapdy3_f,"F: Prevalent Patients - Modality: % on Continuous Ambulatory Peritoneal Dialysis, 12/31/2018"
modccpdy3_f,"F: Prevalent Patients - Modality: % on Continuous Cycling Peritoneal Dialysis, 12/31/2018"
modothry3_f,"F: Prevalent Patients - Modality: % on Other Modality, 12/31/2018"
pahy4_f,"F: Prevalent Patients - End of Year Status: Number of patients alive in this facility, 2019"
agey4_f,"F: Prevalent Patients - Age: Average patient age, 12/31/2019"
viny4_f,"F: Prevalent Patients - Vintage: Average Years of Prior ESRD Therapy, 12/31/2019"
age1y4_f,"F: Prevalent Patients - Age: % Less than 18 years, 12/31/2019"
age2y4_f,"F: Prevalent Patients - Age: % Between 18-64 years, 12/31/2019"
age3y4_f,"F: Prevalent Patients - Age: % Greater than or equal to 65 years, 12/31/2019"
dis1y4_f,"F: Prevalent Patients - Primary Cause of ESRD: % Diabetes, 12/31/2019"
dis2y4_f,"F: Prevalent Patients - Primary Cause of ESRD: % Hypertension, 12/31/2019"
dis3y4_f,"F: Prevalent Patients - Primary Cause of ESRD: % Glomerulonephritis, 12/31/2019"
dis4y4_f,"F: Prevalent Patients - Primary Cause of ESRD: % Other/Unknown Cause, 12/31/2019"
dis5y4_f,"F: Prevalent Patients - Primary Cause of ESRD: % Missing Cause, 12/31/2019"
rac1y4_f,"F: Prevalent Patients - Race: % Asian/Pacific Islander, 12/31/2019"
rac2y4_f,"F: Prevalent Patients - Race: % African American, 12/31/2019"
rac3y4_f,"F: Prevalent Patients - Race: % Native American, 12/31/2019"
rac4y4_f,"F: Prevalent Patients - Race: % White, 12/31/2019"
rac5y4_f,"F: Prevalent Patients - Race: % Other/Unknown/Missing race, 12/31/2019"
eth1y4_f,"F: Prevalent Patients - Ethnicity: % Hispanic, 12/31/2019"
eth2y4_f,"F: Prevalent Patients - Ethnicity: % Non-Hispanic, 12/31/2019"
eth3y4_f,"F: Prevalent Patients - Ethnicity: % Unknown Ethnicity, 12/31/2019"
vin1y4_f,"F: Prevalent Patients - Vintage: % on ESRD Therapy less than 1 year, 12/31/2019"
vin2y4_f,"F: Prevalent Patients - Vintage: % on ESRD Therapy for 1-2 years, 12/31/2019"
vin3y4_f,"F: Prevalent Patients - Vintage: % on ESRD Therapy for 2-3 years, 12/31/2019"
vin4y4_f,"F: Prevalent Patients - Vintage: % on ESRD Therapy for 3-6 years, 12/31/2019"
vin5y4_f,"F: Prevalent Patients - Vintage: % on ESRD Therapy for over 6 years, 12/31/2019"
sexy4_f,"F: Prevalent Patients - Sex: % Female, 12/31/2019"
nrshomey4_f,"F: Prevalent Patients - Nursing Home: % of Nursing Home Facility Patients During Year, 12/31/2019"
modhdy4_f,"F: Prevalent Patients - Modality: % on Hemodialysis, 12/31/2019"
modhhdy4_f,"F: Prevalent Patients - Modality: % on Home Hemodialysis, 12/31/2019"
modcapdy4_f,"F: Prevalent Patients - Modality: % on Continuous Ambulatory Peritoneal Dialysis, 12/31/2019"
modccpdy4_f,"F: Prevalent Patients - Modality: % on Continuous Cycling Peritoneal Dialysis, 12/31/2019"
modothry4_f,"F: Prevalent Patients - Modality: % on Other Modality, 12/31/2019"
CWhcptdenomy1_f,"F: Hypercalcemia (Adult) - Total Number of Eligible Dialysis Patients, 2016"
CWhcptdenomy3_f,"F: Hypercalcemia (Adult) - Total Number of Eligible Dialysis Patients, 2018"
CWhcptdenomy4_f,"F: Hypercalcemia (Adult) - Total Number of Eligible Dialysis Patients, 2019"
pdpaty1_f,"F: VA infection - Total number of eligible PD patients, 2016"
pdptmoy1_f,"F: VA infection - Total number of eligible PD patient-months, 2016"
pd2inf100moy1_f,"F: VA infection - PD Catheter infection rate per 100 PD patient-months, 2016"
pdpaty2_f,"F: VA infection - Total number of eligible PD patients, 2017"
pdptmoy2_f,"F: VA infection - Total number of eligible PD patient-months, 2017"
pd2inf100moy2_f,"F: VA infection - PD Catheter infection rate per 100 PD patient-months, 2017"
pv_pd2infy1_f,"F: VA infection - P-value of 11m (compared to U.S. value), 2016"
pv_pd2infy2_f,"F: VA infection - P-value of 11m (compared to U.S. value), 2017"
ncmy1_f,"F: Prevalent Comorbidities - Number of Medicare Dialysis Patients Alive on December 31, 2016"
clmanemy1_f,"F: Prevalent Comorbidities - % with Anemia, 2016"
clmhivaidmy1_f,"F: Prevalent Comorbidities - % with AIDS, 2016"
clmalcomy1_f,"F: Prevalent Comorbidities - % with Alcohol Dependence, 2016"
clmcanmy1_f,"F: Prevalent Comorbidities - % with Cancer, 2016"
clmcamy1_f,"F: Prevalent Comorbidities - % with Cardiac Arrest, 2016"
clmcdmy1_f,"F: Prevalent Comorbidities - % with Cardiac Dysrythmias, 2016"
clmcvdmy1_f,"F: Prevalent Comorbidities - % with Cerebrovascular Disease, 2016"
clmcopdmy1_f,"F: Prevalent Comorbidities - % with Chronic Obstructive Pulmonary Disease, 2016"
clmchfmy1_f,"F: Prevalent Comorbidities - % with Congestive Heart Failure, 2016"
clmdiabmy1_f,"F: Prevalent Comorbidities - % with Diabetes, 2016"
clmdrugmy1_f,"F: Prevalent Comorbidities - % with Drug Dependence, 2016"
clmgtbmy1_f,"F: Prevalent Comorbidities - % with Gastro-Intestinal Tract Bleeding, 2016"
clmhepbmy1_f,"F: Prevalent Comorbidities - % with Hepatitis B, 2016"
clmhepothmy1_f,"F: Prevalent Comorbidities - % with Hepatitis Other, 2016"
clmhypthymy1_f,"F: Prevalent Comorbidities - % with Hyperparathyroidism, 2016"
clminfmy1_f,"F: Prevalent Comorbidities - % with Non-Vascular Access-Related Infection, 2016"
clminfvamy1_f,"F: Prevalent Comorbidities - % with Vascular Access-Related Infection, 2016"
clmihdmy1_f,"F: Prevalent Comorbidities - % with Ischemic Heart Disease, 2016"
clmmimy1_f,"F: Prevalent Comorbidities - % with Myocardial Infarction, 2016"
clmpvdmy1_f,"F: Prevalent Comorbidities - % with Peripheral Vascular Disease, 2016"
clmpnemy1_f,"F: Prevalent Comorbidities - % with Pneumonia, 2016"
clmmstinfmy1_f,"F: Prevalent Comorbidities - % with Metastatic Infection, 2016"
clmtbmy1_f,"F: Prevalent Comorbidities - % with Tuberculosis, 2016"
clmcntcomy1_f,"F: Prevalent Comorbidities - Average Number of Comorbid Conditions, 2016"
ncmy2_f,"F: Prevalent Comorbidities - Number of Medicare Dialysis Patients Alive on December 31, 2017"
clmanemy2_f,"F: Prevalent Comorbidities - % with Anemia, 2017"
clmhivaidmy2_f,"F: Prevalent Comorbidities - % with AIDS, 2017"
clmalcomy2_f,"F: Prevalent Comorbidities - % with Alcohol Dependence, 2017"
clmcanmy2_f,"F: Prevalent Comorbidities - % with Cancer, 2017"
clmcamy2_f,"F: Prevalent Comorbidities - % with Cardiac Arrest, 2017"
clmcdmy2_f,"F: Prevalent Comorbidities - % with Cardiac Dysrythmias, 2017"
clmcvdmy2_f,"F: Prevalent Comorbidities - % with Cerebrovascular Disease, 2017"
clmcopdmy2_f,"F: Prevalent Comorbidities - % with Chronic Obstructive Pulmonary Disease, 2017"
clmchfmy2_f,"F: Prevalent Comorbidities - % with Congestive Heart Failure, 2017"
clmdiabmy2_f,"F: Prevalent Comorbidities - % with Diabetes, 2017"
clmdrugmy2_f,"F: Prevalent Comorbidities - % with Drug Dependence, 2017"
clmgtbmy2_f,"F: Prevalent Comorbidities - % with Gastro-Intestinal Tract Bleeding, 2017"
clmhepbmy2_f,"F: Prevalent Comorbidities - % with Hepatitis B, 2017"
clmhepothmy2_f,"F: Prevalent Comorbidities - % with Hepatitis Other, 2017"
clmhypthymy2_f,"F: Prevalent Comorbidities - % with Hyperparathyroidism, 2017"
clminfmy2_f,"F: Prevalent Comorbidities - % with Non-Vascular Access-Related Infection, 2017"
clminfvamy2_f,"F: Prevalent Comorbidities - % with Vascular Access-Related Infection, 2017"
clmihdmy2_f,"F: Prevalent Comorbidities - % with Ischemic Heart Disease, 2017"
clmmimy2_f,"F: Prevalent Comorbidities - % with Myocardial Infarction, 2017"
clmpvdmy2_f,"F: Prevalent Comorbidities - % with Peripheral Vascular Disease, 2017"
clmpnemy2_f,"F: Prevalent Comorbidities - % with Pneumonia, 2017"
clmmstinfmy2_f,"F: Prevalent Comorbidities - % with Metastatic Infection, 2017"
clmtbmy2_f,"F: Prevalent Comorbidities - % with Tuberculosis, 2017"
clmcntcomy2_f,"F: Prevalent Comorbidities - Average Number of Comorbid Conditions, 2017"
allcnty4_f,"F (AFS): # of pts, 2019"
endcnty4_f,"F (AFS):  # of all pts on Dec 31, 2019"
medicarey4_f,"F (AFS):  % Medicare pts on Dec 31, 2019"
medpendy4_f,"F (AFS): % Medicare pending on Dec 31, 2019"
nonmedy4_f,"F (AFS): % Non-Medicare on Dec 31, 2019"
transiny4_f,"F (AFS):  % of pts transferred in, 2019"
transouty4_f,"F (AFS):  % of pts transferred out, 2019"
survey_dt,Survey Date
compl_cond,Compliance Status
cfc_f,F (QIES): Total # of CfCs Cited
std_f,F (QIES): Total # of Standard Citations Cited
TOTSTAS_F,Number of stations
DFR_First_certdate,F: Facility Information - Original Certification Date
p_rdshy1_f,"F: Hospitalization (Pediatric) - Number of Patients, 2016"
p_rdsmy1_f,"F: All Patient Mortality (Pediatric) - Number of patients, 2016"
p_dyy1_f,"F: All Patient Mortality (Pediatric) - Years at risk for mortality, 2016"
p_deay1_f,"F: All Patient Mortality (Pediatric) - Number of patient deaths, 2016"
p_htay1_f,"F: SHR (Pediatric Admissions)- Number of Hospital Admissions, 2016"
p_hdyy1_f,"F: Hospitalization (Pediatric)- Years at Risk, 2016"
p_hdy1_f,"F: SHR (Pediatric Days) - Number of Days Hospitalized, 2016"
p_rdsty1_f,"F: Transplantation (Pediatric)- Number of patients, first transplant, 2016"
p_txy1_f,"F: Transplantation (Pediatric)- Number of 1st transplants, 2016"
p_txyy1_f,"F: Transplantation (Pediatric)- Years at risk of eligible first transplant patients, 2016"
p_pahy1_f,"F: Prevalent Patients (Pediatric) - End of Year Status: Number of pediatric patients live in this facility, 2016"
p_hdyedy1_f,"F: SHR (Pediatric ED)- Years at Risk, 2016"
p_age1y1_f,"F: Prevalent Patients (Pediatric) - Age: % Less than 5 years, 12/31/2016"
p_age2y1_f,"F: Prevalent Patients (Pediatric) - Age: % Between 5-9 years, 12/31/2016"
p_age3y1_f,"F: Prevalent Patients (Pediatric) - Age: % Between 10-14 years, 12/31/2016"
p_age4y1_f,"F: Prevalent Patients (Pediatric) - Age: % Between 15-17 years, 12/31/2016"
p_dis1y1_f,"F: Prevalent Patients (Pediatric) - Primary Cause of ESRD: % Diabetes, 12/31/2016"
p_dis2y1_f,"F: Prevalent Patients (Pediatric) - Primary Cause of ESRD: % Hypertension, 12/31/2016"
p_dis3y1_f,"F: Prevalent Patients (Pediatric) - Primary Cause of ESRD: % Glomerulonephritis, 12/31/2016"
p_dis4y1_f,"F: Prevalent Patients (Pediatric) - Primary Cause of ESRD: % Cystic Kidney, 12/31/2016"
p_dis5y1_f,"F: Prevalent Patients (Pediatric) - Primary Cause of ESRD: % Congenital/Hereditary, 12/31/2016"
p_dis6y1_f,"F: Prevalent Patients (Pediatric) - Primary Cause of ESRD: % Hemolytic Uremic Syndrome, 12/31/2016"
p_dis7y1_f,"F: Prevalent Patients (Pediatric) - Primary Cause of ESRD: % Other Cause, 12/31/2016"
p_dis8y1_f,"F: Prevalent Patients (Pediatric) - Primary Cause of ESRD: % Missing/Unknown Cause, 12/31/2016"
p_rac1y1_f,"F: Prevalent Patients (Pediatric) - Race: % Asian/Pacific Islander, 12/31/2016"
p_rac2y1_f,"F: Prevalent Patients (Pediatric) - Race: % African American, 12/31/2016"
p_rac3y1_f,"F: Prevalent Patients (Pediatric) - Race: % Native American, 12/31/2016"
p_rac4y1_f,"F: Prevalent Patients (Pediatric) - Race: % White, 12/31/2016"
p_rac5y1_f,"F: Prevalent Patients (Pediatric) - Race: % Other/Unknown/Missing race, 12/31/2016"
p_eth1y1_f,"F: Prevalent Patients (Pediatric) - Ethnicity: % Hispanic, 12/31/2016"
p_eth2y1_f,"F: Prevalent Patients (Pediatric) - Ethnicity: % Non-Hispanic, 12/31/2016"
p_eth3y1_f,"F: Prevalent Patients (Pediatric) - Ethnicity: % Unknown Ethnicity, 12/31/2016"
p_vin1y1_f,"F: Prevalent Patients (Pediatric) - Vintage: % on ESRD Therapy less than 1 year, 12/31/2016"
p_vin2y1_f,"F: Prevalent Patients (Pediatric) - Vintage: % on ESRD Therapy for 1-2 years, 12/31/2016"
p_vin3y1_f,"F: Prevalent Patients (Pediatric) - Vintage: % on ESRD Therapy for 2-3 years, 12/31/2016"
p_vin4y1_f,"F: Prevalent Patients (Pediatric) - Vintage: % on ESRD Therapy for 3-6 years, 12/31/2016"
p_vin5y1_f,"F: Prevalent Patients (Pediatric) - Vintage: % on ESRD Therapy for over 6 years, 12/31/2016"
p_sexy1_f,"F: Prevalent Patients (Pediatric) - Sex: % Female, 12/31/2016"
p_modhdy1_f,"F: Prevalent Patients (Pediatric) - Modality: % on Hemodialysis, 12/31/2016"
p_modhhdy1_f,"F: Prevalent Patients (Pediatric) - Modality: % on Home Hemodialysis, 12/31/2016"
p_modcapdy1_f,"F: Prevalent Patients (Pediatric) - Modality: % on Continuous Ambulatory Peritoneal Dialysis, 12/31/2016"
p_modccpdy1_f,"F: Prevalent Patients (Pediatric) - Modality: % on Continuous Cycling Peritoneal Dialysis, 12/31/2016"
p_modothry1_f,"F: Prevalent Patients (Pediatric) - Modality: % on Other Modality, 12/31/2016"
p_rdshy2_f,"F: Hospitalization (Pediatric) - Number of Patients, 2017"
p_rdsmy2_f,"F: All Patient Mortality (Pediatric) - Number of patients, 2017"
p_dyy2_f,"F: All Patient Mortality (Pediatric) - Years at risk for mortality, 2017"
p_deay2_f,"F: All Patient Mortality (Pediatric) - Number of patient deaths, 2017"
p_htay2_f,"F: SHR (Pediatric Admissions)- Number of Hospital Admissions, 2017"
p_hdyy2_f,"F: Hospitalization (Pediatric)- Years at Risk, 2017"
p_hdy2_f,"F: SHR (Pediatric Days) - Number of Days Hospitalized, 2017"
p_rdsty2_f,"F: Transplantation (Pediatric)- Number of patients, first transplant, 2017"
p_txy2_f,"F: Transplantation (Pediatric)- Number of 1st transplants, 2017"
p_txyy2_f,"F: Transplantation (Pediatric)- Years at risk of eligible first transplant patients, 2017"
p_pahy2_f,"F: Prevalent Patients (Pediatric) - End of Year Status: Number of pediatric patients live in this facility, 2017"
p_hdyedy2_f,"F: SHR (Pediatric ED)- Years at Risk, 2017"
p_age1y2_f,"F: Prevalent Patients (Pediatric) - Age: % Less than 5 years, 12/31/2017"
p_age2y2_f,"F: Prevalent Patients (Pediatric) - Age: % Between 5-9 years, 12/31/2017"
p_age3y2_f,"F: Prevalent Patients (Pediatric) - Age: % Between 10-14 years, 12/31/2017"
p_age4y2_f,"F: Prevalent Patients (Pediatric) - Age: % Between 15-17 years, 12/31/2017"
p_dis1y2_f,"F: Prevalent Patients (Pediatric) - Primary Cause of ESRD: % Diabetes, 12/31/2017"
p_dis2y2_f,"F: Prevalent Patients (Pediatric) - Primary Cause of ESRD: % Hypertension, 12/31/2017"
p_dis3y2_f,"F: Prevalent Patients (Pediatric) - Primary Cause of ESRD: % Glomerulonephritis, 12/31/2017"
p_dis4y2_f,"F: Prevalent Patients (Pediatric) - Primary Cause of ESRD: % Cystic Kidney, 12/31/2017"
p_dis5y2_f,"F: Prevalent Patients (Pediatric) - Primary Cause of ESRD: % Congenital/Hereditary, 12/31/2017"
p_dis6y2_f,"F: Prevalent Patients (Pediatric) - Primary Cause of ESRD: % Hemolytic Uremic Syndrome, 12/31/2017"
p_dis7y2_f,"F: Prevalent Patients (Pediatric) - Primary Cause of ESRD: % Other Cause, 12/31/2017"
p_dis8y2_f,"F: Prevalent Patients (Pediatric) - Primary Cause of ESRD: % Missing/Unknown Cause, 12/31/2017"
p_rac1y2_f,"F: Prevalent Patients (Pediatric) - Race: % Asian/Pacific Islander, 12/31/2017"
p_rac2y2_f,"F: Prevalent Patients (Pediatric) - Race: % African American, 12/31/2017"
p_rac3y2_f,"F: Prevalent Patients (Pediatric) - Race: % Native American, 12/31/2017"
p_rac4y2_f,"F: Prevalent Patients (Pediatric) - Race: % White, 12/31/2017"
p_rac5y2_f,"F: Prevalent Patients (Pediatric) - Race: % Other/Unknown/Missing race, 12/31/2017"
p_eth1y2_f,"F: Prevalent Patients (Pediatric) - Ethnicity: % Hispanic, 12/31/2017"
p_eth2y2_f,"F: Prevalent Patients (Pediatric) - Ethnicity: % Non-Hispanic, 12/31/2017"
p_eth3y2_f,"F: Prevalent Patients (Pediatric) - Ethnicity: % Unknown Ethnicity, 12/31/2017"
p_vin1y2_f,"F: Prevalent Patients (Pediatric) - Vintage: % on ESRD Therapy less than 1 year, 12/31/2017"
p_vin2y2_f,"F: Prevalent Patients (Pediatric) - Vintage: % on ESRD Therapy for 1-2 years, 12/31/2017"
p_vin3y2_f,"F: Prevalent Patients (Pediatric) - Vintage: % on ESRD Therapy for 2-3 years, 12/31/2017"
p_vin4y2_f,"F: Prevalent Patients (Pediatric) - Vintage: % on ESRD Therapy for 3-6 years, 12/31/2017"
p_vin5y2_f,"F: Prevalent Patients (Pediatric) - Vintage: % on ESRD Therapy for over 6 years, 12/31/2017"
p_sexy2_f,"F: Prevalent Patients (Pediatric) - Sex: % Female, 12/31/2017"
p_modhdy2_f,"F: Prevalent Patients (Pediatric) - Modality: % on Hemodialysis, 12/31/2017"
p_modhhdy2_f,"F: Prevalent Patients (Pediatric) - Modality: % on Home Hemodialysis, 12/31/2017"
p_modcapdy2_f,"F: Prevalent Patients (Pediatric) - Modality: % on Continuous Ambulatory Peritoneal Dialysis, 12/31/2017"
p_modccpdy2_f,"F: Prevalent Patients (Pediatric) - Modality: % on Continuous Cycling Peritoneal Dialysis, 12/31/2017"
p_modothry2_f,"F: Prevalent Patients (Pediatric) - Modality: % on Other Modality, 12/31/2017"
p_rdshy3_f,"F: Hospitalization (Pediatric) - Number of Patients, 2018"
p_rdsmy3_f,"F: All Patient Mortality (Pediatric) - Number of patients, 2018"
p_dyy3_f,"F: All Patient Mortality (Pediatric) - Years at risk for mortality, 2018"
p_deay3_f,"F: All Patient Mortality (Pediatric) - Number of patient deaths, 2018"
p_htay3_f,"F: SHR (Pediatric Admissions)- Number of Hospital Admissions, 2018"
p_hdyy3_f,"F: Hospitalization (Pediatric)- Years at Risk, 2018"
p_hdy3_f,"F: SHR (Pediatric Days) - Number of Days Hospitalized, 2018"
p_rdsty3_f,"F: Transplantation (Pediatric)- Number of patients, first transplant, 2018"
p_txy3_f,"F: Transplantation (Pediatric)- Number of 1st transplants, 2018"
p_txyy3_f,"F: Transplantation (Pediatric)- Years at risk of eligible first transplant patients, 2018"
p_pahy3_f,"F: Prevalent Patients (Pediatric) - End of Year Status: Number of pediatric patients live in this facility, 2018"
p_hdyedy3_f,"F: SHR (Pediatric ED)- Years at Risk, 2018"
p_age1y3_f,"F: Prevalent Patients (Pediatric) - Age: % Less than 5 years, 12/31/2018"
p_age2y3_f,"F: Prevalent Patients (Pediatric) - Age: % Between 5-9 years, 12/31/2018"
p_age3y3_f,"F: Prevalent Patients (Pediatric) - Age: % Between 10-14 years, 12/31/2018"
p_age4y3_f,"F: Prevalent Patients (Pediatric) - Age: % Between 15-17 years, 12/31/2018"
p_dis1y3_f,"F: Prevalent Patients (Pediatric) - Primary Cause of ESRD: % Diabetes, 12/31/2018"
